HPO,Name,Base term frequency,Propagated frequency
HP:0000001,All,0,1
HP:0000118,Phenotypic abnormality,7.34E-06,0.998268155
HP:0002715,Abnormality of the immune system,1.93E-05,0.909087817
HP:0010978,Abnormality of immune system physiology,7.34E-06,0.906110938
HP:0025142,Constitutional symptom,0.014072823,0.89342986
HP:0032443,Past medical history,0.714957151,0.885460173
HP:0012531,Pain,0.88049804,0.883988405
HP:0000707,Abnormality of the nervous system,0.000989626,0.868696555
HP:0100326,Immunologic hypersensitivity,1.33E-06,0.853085945
HP:0012393,Allergy,0.843501781,0.84407395
HP:0012638,Abnormal nervous system physiology,1.33E-06,0.826990238
HP:0032316,Family history,0.79129703,0.79129903
HP:0001626,Abnormality of the cardiovascular system,0.008481171,0.766564392
HP:0033127,Abnormality of the musculoskeletal system,0,0.74259598
HP:0002086,Abnormality of the respiratory system,0.002068611,0.738121325
HP:0001939,Abnormality of metabolism/homeostasis,8.27E-05,0.737106359
HP:0001574,Abnormality of the integument,6.67E-07,0.735968023
HP:0025031,Abnormality of the digestive system,4.67E-06,0.730866516
HP:0000951,Abnormality of the skin,0.023463596,0.725064802
HP:0000152,Abnormality of head or neck,6.67E-07,0.698076832
HP:0000234,Abnormality of the head,0.003320314,0.692307795
HP:0012337,Abnormal homeostasis,0,0.691550238
HP:0002795,Functional respiratory abnormality,0.104553545,0.690343215
HP:0012649,Increased inflammatory response,1.53E-05,0.663708682
HP:0012647,Abnormal inflammatory response,6.67E-06,0.663708682
HP:0025032,Abnormality of digestive system physiology,0,0.66308183
HP:0000271,Abnormality of the face,0.000880927,0.660610434
HP:0011025,Abnormal cardiovascular system physiology,0,0.65645454
HP:0011121,Abnormality of skin morphology,0,0.653560351
HP:0011458,Abdominal symptom,0.003066239,0.640376458
HP:0000708,Behavioral abnormality,0.076502594,0.624979911
HP:0004370,Abnormality of temperature regulation,7.67E-05,0.620937384
HP:0001945,Fever,0.61892679,0.618940127
HP:0000924,Abnormality of the skeletal system,0.000820909,0.616587432
HP:0002597,Abnormality of the vasculature,0.000783565,0.597557812
HP:0000478,Abnormality of the eye,0.024483231,0.590383026
HP:0032101,Unusual infection,6.20E-05,0.587247434
HP:0002664,Neoplasm,0.256876531,0.580920899
HP:0011842,Abnormality of skeletal morphology,0,0.573093254
HP:0012639,Abnormal nervous system morphology,0,0.553764212
HP:0011122,Abnormality of skin physiology,0,0.553756876
HP:0011793,Neoplasm by anatomical site,0,0.548955458
HP:0002017,Nausea and vomiting,0.134419032,0.545105655
HP:0011354,Generalized abnormality of skin,0,0.540436276
HP:0012823,Clinical modifier,0,0.537841509
HP:0100022,Abnormality of movement,0.006653965,0.532647975
HP:0001871,Abnormality of blood and blood-forming tissues,0.047069234,0.532121153
HP:0011123,Inflammatory abnormality of the skin,0.177396391,0.528787502
HP:0002013,Vomiting,0.515857016,0.51585835
HP:0031690,Opportunistic infection,0.00123103,0.510782184
HP:0000119,Abnormality of the genitourinary system,0.000279416,0.510762178
HP:0003011,Abnormality of the musculature,9.34E-06,0.508052712
HP:0012735,Cough,0.507797303,0.507804638
HP:0031657,Abnormal heart sound,0.000294754,0.502258334
HP:0030148,Heart murmur,0.17796856,0.502222323
HP:0012372,Abnormal eye morphology,2.67E-06,0.501989588
HP:0020100,Unusual fungal infection,6.67E-07,0.501075318
HP:0032255,Opportunistic fungal infection,2.33E-05,0.500715211
HP:0020102,Pneumocystis jirovecii pneumonia,0.500395784,0.500395784
HP:0012252,Abnormal respiratory system morphology,0,0.497073469
HP:0012824,Severity,0,0.494123264
HP:0012828,Severe,0.494123264,0.494123264
HP:0002011,Morphological central nervous system abnormality,0.042293824,0.483094007
HP:0011276,Vascular skin abnormality,6.87E-05,0.479545626
HP:0000598,Abnormality of the ear,0.002469396,0.473900625
HP:0000366,Abnormality of the nose,0.003572388,0.471188491
HP:0000988,Skin rash,0.451187251,0.453922725
HP:0000153,Abnormality of the mouth,0.000150044,0.451681397
HP:0002088,Abnormal lung morphology,0.132564484,0.451150573
HP:0011446,Abnormality of higher mental function,1.33E-06,0.449783503
HP:0001288,Gait disturbance,0.018068003,0.449324034
HP:0011442,Abnormal central motor function,0,0.441369018
HP:0030829,Abnormal breath sound,0.000822243,0.435617319
HP:0012373,Abnormal eye physiology,6.67E-07,0.43031442
